pdb	ch	ipr
121p	A	IPR027417
1a1v	A	IPR027417
1a2b	A	IPR027417
1a2k	C	IPR027417
1a2k	D	IPR027417
1a2k	E	IPR027417
1a4r	A	IPR027417
1a4r	B	IPR027417
1a5t	A	IPR027417
1a7j	A	IPR027417
1a82	A	IPR027417
1aa9	A	IPR027417
1ade	A	IPR027417
1ade	B	IPR027417
1adi	A	IPR027417
1adi	B	IPR027417
1agp	A	IPR027417
1agr	A	IPR027417
1agr	D	IPR027417
1aip	A	IPR027417
1aip	B	IPR027417
1aip	E	IPR027417
1aip	F	IPR027417
1aje	A	IPR027417
1ak2	A	IPR027417
1ake	A	IPR027417
1ake	B	IPR027417
1aky	A	IPR027417
1am4	D	IPR027417
1am4	E	IPR027417
1am4	F	IPR027417
1an0	A	IPR027417
1an0	B	IPR027417
1ank	A	IPR027417
1ank	B	IPR027417
1aqu	A	IPR027417
1aqu	B	IPR027417
1aqy	A	IPR027417
1aqy	B	IPR027417
1as0	A	IPR027417
1as2	A	IPR027417
1as3	A	IPR027417
1azs	C	IPR027417
1azt	A	IPR027417
1azt	B	IPR027417
1b0u	A	IPR027417
1b23	P	IPR027417
1b7t	A	IPR027417
1bg2	A	IPR027417
1bh2	A	IPR027417
1bif	A	IPR027417
1bkd	R	IPR027417
1bmf	A	IPR027417
1bmf	B	IPR027417
1bmf	C	IPR027417
1bmf	D	IPR027417
1bmf	E	IPR027417
1bmf	F	IPR027417
1bo6	A	IPR027417
1bo6	B	IPR027417
1bof	A	IPR027417
1br1	A	IPR027417
1br1	C	IPR027417
1br1	E	IPR027417
1br1	G	IPR027417
1br2	A	IPR027417
1br2	B	IPR027417
1br2	C	IPR027417
1br2	D	IPR027417
1br2	E	IPR027417
1br2	F	IPR027417
1br4	A	IPR027417
1br4	C	IPR027417
1br4	E	IPR027417
1br4	G	IPR027417
1bs1	A	IPR027417
1byi	A	IPR027417
1byu	A	IPR027417
1byu	B	IPR027417
1c1y	A	IPR027417
1c4o	A	IPR027417
1c9k	A	IPR027417
1c9k	B	IPR027417
1c9k	C	IPR027417
1cbu	A	IPR027417
1cbu	B	IPR027417
1cbu	C	IPR027417
1cc0	A	IPR027417
1cc0	C	IPR027417
1cee	A	IPR027417
1cf4	A	IPR027417
1cg0	A	IPR027417
1cg1	A	IPR027417
1cg3	A	IPR027417
1cg4	A	IPR027417
1ch8	A	IPR027417
1cib	A	IPR027417
1cip	A	IPR027417
1cjk	C	IPR027417
1cjm	A	IPR027417
1cjt	C	IPR027417
1cju	C	IPR027417
1cjv	C	IPR027417
1cke	A	IPR027417
1clu	A	IPR027417
1cow	A	IPR027417
1cow	B	IPR027417
1cow	C	IPR027417
1cow	D	IPR027417
1cow	E	IPR027417
1cow	F	IPR027417
1cp2	A	IPR027417
1cp2	B	IPR027417
1cr0	A	IPR027417
1cr1	A	IPR027417
1cr2	A	IPR027417
1cr4	A	IPR027417
1crp	A	IPR027417
1crq	A	IPR027417
1crr	A	IPR027417
1cs4	C	IPR027417
1ctq	A	IPR027417
1cu1	A	IPR027417
1cu1	B	IPR027417
1cul	C	IPR027417
1cxz	A	IPR027417
1cz7	A	IPR027417
1cz7	B	IPR027417
1cz7	C	IPR027417
1cz7	D	IPR027417
1d0x	A	IPR027417
1d0y	A	IPR027417
1d0z	A	IPR027417
1d1a	A	IPR027417
1d1b	A	IPR027417
1d1c	A	IPR027417
1d2e	A	IPR027417
1d2e	B	IPR027417
1d2e	C	IPR027417
1d2e	D	IPR027417
1d2m	A	IPR027417
1d2n	A	IPR027417
1d5c	A	IPR027417
1d6j	A	IPR027417
1d6j	B	IPR027417
1d8t	A	IPR027417
1d8t	B	IPR027417
1d9x	A	IPR027417
1d9z	A	IPR027417
1dad	A	IPR027417
1dae	A	IPR027417
1daf	A	IPR027417
1dag	A	IPR027417
1dah	A	IPR027417
1dai	A	IPR027417
1dak	A	IPR027417
1dam	A	IPR027417
1dar	A	IPR027417
1dbs	A	IPR027417
1de0	A	IPR027417
1de0	B	IPR027417
1dek	A	IPR027417
1dek	B	IPR027417
1del	A	IPR027417
1del	B	IPR027417
1dfk	A	IPR027417
1dfl	A	IPR027417
1dfl	B	IPR027417
1dg1	G	IPR027417
1dg1	H	IPR027417
1dg3	A	IPR027417
1dj2	A	IPR027417
1dj2	B	IPR027417
1dj3	A	IPR027417
1dj3	B	IPR027417
1do0	A	IPR027417
1do0	B	IPR027417
1do0	C	IPR027417
1do0	D	IPR027417
1do0	E	IPR027417
1do0	F	IPR027417
1do2	A	IPR027417
1do2	B	IPR027417
1do2	C	IPR027417
1do2	D	IPR027417
1doa	A	IPR027417
1dpf	A	IPR027417
1ds6	A	IPR027417
1dts	A	IPR027417
1dvr	A	IPR027417
1dvr	B	IPR027417
1e0a	A	IPR027417
1e0j	A	IPR027417
1e0j	B	IPR027417
1e0j	C	IPR027417
1e0j	D	IPR027417
1e0j	E	IPR027417
1e0j	F	IPR027417
1e0k	A	IPR027417
1e0k	B	IPR027417
1e0k	C	IPR027417
1e0k	D	IPR027417
1e0k	E	IPR027417
1e0k	F	IPR027417
1e0s	A	IPR027417
1e1q	A	IPR027417
1e1q	B	IPR027417
1e1q	C	IPR027417
1e1q	D	IPR027417
1e1q	E	IPR027417
1e1q	F	IPR027417
1e1r	A	IPR027417
1e1r	B	IPR027417
1e1r	C	IPR027417
1e1r	D	IPR027417
1e1r	E	IPR027417
1e1r	F	IPR027417
1e2d	A	IPR027417
1e2e	A	IPR027417
1e2f	A	IPR027417
1e2g	A	IPR027417
1e2h	A	IPR027417
1e2h	B	IPR027417
1e2i	A	IPR027417
1e2i	B	IPR027417
1e2j	A	IPR027417
1e2j	B	IPR027417
1e2k	A	IPR027417
1e2k	B	IPR027417
1e2l	A	IPR027417
1e2l	B	IPR027417
1e2m	A	IPR027417
1e2m	B	IPR027417
1e2n	A	IPR027417
1e2n	B	IPR027417
1e2p	A	IPR027417
1e2p	B	IPR027417
1e2q	A	IPR027417
1e32	A	IPR027417
1e3m	A	IPR027417
1e3m	B	IPR027417
1e4v	A	IPR027417
1e4v	B	IPR027417
1e4y	A	IPR027417
1e4y	B	IPR027417
1e69	A	IPR027417
1e69	B	IPR027417
1e69	C	IPR027417
1e69	D	IPR027417
1e69	E	IPR027417
1e69	F	IPR027417
1e6c	A	IPR027417
1e6c	B	IPR027417
1e79	A	IPR027417
1e79	B	IPR027417
1e79	C	IPR027417
1e79	D	IPR027417
1e79	E	IPR027417
1e79	F	IPR027417
1e94	E	IPR027417
1e94	F	IPR027417
1e96	A	IPR027417
1e98	A	IPR027417
1e99	A	IPR027417
1e9a	A	IPR027417
1e9b	A	IPR027417
1e9c	A	IPR027417
1e9d	A	IPR027417
1e9e	A	IPR027417
1e9f	A	IPR027417
1e9r	A	IPR027417
1e9r	B	IPR027417
1e9r	D	IPR027417
1e9r	E	IPR027417
1e9r	F	IPR027417
1e9r	G	IPR027417
1e9s	A	IPR027417
1e9s	B	IPR027417
1e9s	D	IPR027417
1e9s	E	IPR027417
1e9s	F	IPR027417
1e9s	G	IPR027417
1e9s	H	IPR027417
1e9s	I	IPR027417
1e9s	J	IPR027417
1e9s	K	IPR027417
1e9s	L	IPR027417
1e9s	M	IPR027417
1ees	A	IPR027417
1efc	A	IPR027417
1efc	B	IPR027417
1efg	A	IPR027417
1efh	A	IPR027417
1efh	B	IPR027417
1efm	A	IPR027417
1efr	A	IPR027417
1efr	B	IPR027417
1efr	C	IPR027417
1efr	D	IPR027417
1efr	E	IPR027417
1efr	F	IPR027417
1eft	A	IPR027417
1efu	A	IPR027417
1efu	C	IPR027417
1eg7	A	IPR027417
1eg7	B	IPR027417
1ega	A	IPR027417
1ega	B	IPR027417
1ek0	A	IPR027417
1elo	A	IPR027417
1esm	A	IPR027417
1esm	B	IPR027417
1esm	C	IPR027417
1esm	D	IPR027417
1esn	A	IPR027417
1esn	B	IPR027417
1esn	C	IPR027417
1esn	D	IPR027417
1etu	A	IPR027417
1ewq	A	IPR027417
1ewq	B	IPR027417
1ewr	A	IPR027417
1ewr	B	IPR027417
1ex6	A	IPR027417
1ex6	B	IPR027417
1ex7	A	IPR027417
1exm	A	IPR027417
1f2t	A	IPR027417
1f2t	B	IPR027417
1f2u	A	IPR027417
1f2u	B	IPR027417
1f2u	C	IPR027417
1f2u	D	IPR027417
1f3o	A	IPR027417
1f48	A	IPR027417
1f5n	A	IPR027417
1f60	A	IPR027417
1f6b	A	IPR027417
1f6b	B	IPR027417
1f9t	A	IPR027417
1f9u	A	IPR027417
1f9v	A	IPR027417
1f9w	A	IPR027417
1f9w	B	IPR027417
1ffh	A	IPR027417
1fl9	A	IPR027417
1fl9	B	IPR027417
1fl9	C	IPR027417
1fmj	A	IPR027417
1fmj	B	IPR027417
1fml	A	IPR027417
1fml	B	IPR027417
1fmv	A	IPR027417
1fmw	A	IPR027417
1fnm	A	IPR027417
1fnn	A	IPR027417
1fnn	B	IPR027417
1foe	B	IPR027417
1foe	D	IPR027417
1foe	F	IPR027417
1foe	H	IPR027417
1fp6	A	IPR027417
1fp6	B	IPR027417
1fp6	C	IPR027417
1fp6	D	IPR027417
1fp7	A	IPR027417
1fp7	B	IPR027417
1fpm	A	IPR027417
1fpm	B	IPR027417
1fqj	A	IPR027417
1fqj	D	IPR027417
1fqk	A	IPR027417
1fqk	C	IPR027417
1ftn	A	IPR027417
1fts	A	IPR027417
1fuk	A	IPR027417
1fuu	A	IPR027417
1fuu	B	IPR027417
1fw6	A	IPR027417
1fw6	B	IPR027417
1fx0	A	IPR027417
1fx0	B	IPR027417
1fzq	A	IPR027417
1g16	A	IPR027417
1g16	B	IPR027417
1g16	C	IPR027417
1g16	D	IPR027417
1g17	A	IPR027417
1g17	B	IPR027417
1g18	A	IPR027417
1g19	A	IPR027417
1g1m	A	IPR027417
1g1m	B	IPR027417
1g20	E	IPR027417
1g20	F	IPR027417
1g20	G	IPR027417
1g20	H	IPR027417
1g21	E	IPR027417
1g21	F	IPR027417
1g21	G	IPR027417
1g21	H	IPR027417
1g29	1	IPR027417
1g29	2	IPR027417
1g3i	A	IPR027417
1g3i	B	IPR027417
1g3i	C	IPR027417
1g3i	D	IPR027417
1g3i	E	IPR027417
1g3i	F	IPR027417
1g3i	S	IPR027417
1g3i	T	IPR027417
1g3i	U	IPR027417
1g3i	V	IPR027417
1g3i	W	IPR027417
1g3i	X	IPR027417
1g3m	A	IPR027417
1g3m	B	IPR027417
1g3q	A	IPR027417
1g3r	A	IPR027417
1g3u	A	IPR027417
1g41	A	IPR027417
1g4a	E	IPR027417
1g4a	F	IPR027417
1g4b	E	IPR027417
1g4b	F	IPR027417
1g4b	K	IPR027417
1g4b	L	IPR027417
1g4u	R	IPR027417
1g5p	A	IPR027417
1g5p	B	IPR027417
1g5r	A	IPR027417
1g5t	A	IPR027417
1g64	A	IPR027417
1g64	B	IPR027417
1g6h	A	IPR027417
1g6o	A	IPR027417
1g6o	B	IPR027417
1g7c	A	IPR027417
1g7r	A	IPR027417
1g7s	A	IPR027417
1g7t	A	IPR027417
1g8f	A	IPR027417
1g8g	A	IPR027417
1g8g	B	IPR027417
1g8h	A	IPR027417
1g8h	B	IPR027417
1g8p	A	IPR027417
1g8x	A	IPR027417
1g8x	B	IPR027417
1g8y	A	IPR027417
1g8y	B	IPR027417
1g8y	C	IPR027417
1g8y	D	IPR027417
1g8y	E	IPR027417
1g8y	F	IPR027417
1g8y	G	IPR027417
1g8y	H	IPR027417
